code,code_name,D1日期,D2日期,D1收盘价,D2收盘价,D1-D2收益率,D1_5日均线,D1_20日均线,D1_60日均线,D1_J值,D2_J值,持仓天数
sz.000630,铜陵有色,2024-05-24,2024-05-27,3.95,4.02,1.77,4.1,4.05,3.89,-4.45,3.7,3
sz.000630,铜陵有色,2024-10-16,2024-10-21,3.47,3.52,1.44,3.53,3.32,3.18,-5.26,10.9,5
sz.000630,铜陵有色,2024-11-14,2024-11-20,3.36,3.4,1.19,3.49,3.51,3.3,-7.38,5.24,6
sz.000630,铜陵有色,2025-03-31,2025-04-09,3.43,2.96,-13.7,3.54,3.46,3.34,-5.03,5.95,9
sz.000651,格力电器,2024-04-11,2024-04-12,37.9,38.18,0.74,38.77,38.81,37.24,-3.78,2.7,1
sz.000651,格力电器,2024-05-21,2024-05-27,41.8,41.92,0.29,42.21,41.5,39.91,-5.28,23.33,6
sz.000651,格力电器,2024-05-31,2024-06-03,40.7,41.48,1.92,41.29,42.09,40.25,-0.84,37.88,3
sz.000651,格力电器,2024-10-21,2024-10-22,47.0,47.78,1.66,47.39,45.4,41.8,-1.37,14.42,1
sz.000651,格力电器,2025-01-21,2025-01-23,44.76,44.27,-1.09,45.65,45.81,44.0,-1.07,5.2,2
sz.000661,长春高新,2024-10-17,2024-10-21,98.09,103.52,5.54,101.12,94.17,89.49,-13.75,1.73,4
sz.000661,长春高新,2024-11-25,2024-11-29,108.44,107.22,-1.13,111.48,110.62,97.83,-4.8,5.55,4
sz.000708,中信特钢,2024-10-17,2024-10-21,12.32,12.28,-0.32,12.57,11.84,11.86,-7.16,3.79,4
sz.000725,京东方A,2024-05-15,2024-05-17,4.33,4.41,1.85,4.37,4.33,4.15,-4.37,28.24,2
sz.000725,京东方A,2024-10-17,2024-10-21,4.09,4.23,3.42,4.16,4.03,3.91,-12.68,9.22,4
sz.000725,京东方A,2024-11-14,2024-11-19,4.4,4.4,0.0,4.56,4.45,4.11,-0.08,3.04,5
sz.000725,京东方A,2024-11-22,2024-11-25,4.24,4.2,-0.94,4.37,4.48,4.16,-1.41,0.01,3
sz.000725,京东方A,2024-11-26,2024-11-27,4.19,4.3,2.63,4.28,4.47,4.18,-0.17,24.8,1
sz.000768,中航西飞,2024-04-08,2024-04-09,20.7,20.79,0.43,21.29,21.76,20.68,-1.09,7.51,1
sz.000768,中航西飞,2024-05-24,2024-05-27,23.55,23.79,1.02,24.34,23.55,22.08,-3.43,1.54,3
sz.000768,中航西飞,2024-06-20,2024-06-21,23.59,24.03,1.87,24.28,24.44,22.95,-6.9,2.17,1
sz.000768,中航西飞,2024-06-24,2024-06-26,23.6,23.58,-0.08,24.04,24.44,23.01,-6.65,18.2,2
sz.000768,中航西飞,2024-08-09,2024-08-12,24.99,24.98,-0.04,25.4,25.44,24.6,-2.84,0.59,3
sz.000768,中航西飞,2024-11-01,2024-11-04,27.85,28.7,3.05,28.77,28.68,25.62,-8.89,7.56,3
sz.000768,中航西飞,2024-11-15,2024-11-20,27.47,27.89,1.53,28.97,29.38,26.34,-8.72,8.68,5
sz.000776,广发证券,2024-10-17,2024-10-18,15.42,16.23,5.25,15.62,14.42,12.85,-3.35,6.36,1
sz.000776,广发证券,2024-11-18,2024-11-21,16.65,16.81,0.96,17.19,16.81,14.54,-6.58,6.35,3
sz.000776,广发证券,2024-11-22,2024-11-26,16.09,16.04,-0.31,16.62,16.91,14.85,-3.61,1.14,4
sz.000776,广发证券,2024-12-16,2024-12-23,16.4,16.25,-0.91,16.73,16.58,16.07,-6.52,2.23,7
sz.000786,北新建材,2024-05-24,2024-06-04,33.66,32.85,-2.41,34.52,33.45,30.26,-5.48,18.52,11
sz.000786,北新建材,2024-11-14,2024-11-19,29.76,29.23,-1.78,30.28,31.31,28.12,-8.58,0.38,5
sz.000786,北新建材,2025-01-10,2025-01-14,30.47,30.98,1.67,30.92,29.99,30.04,-0.79,9.63,4
sz.000792,盐湖股份,2024-05-24,2024-05-27,17.19,17.49,1.75,17.71,17.56,16.89,-11.21,7.41,3
sz.000792,盐湖股份,2024-10-17,2024-10-21,16.83,17.22,2.32,17.21,16.3,15.25,-6.76,6.91,4
sz.000792,盐湖股份,2024-11-18,2024-11-19,18.31,18.99,3.71,19.09,18.56,16.48,-11.73,3.13,1
sz.000792,盐湖股份,2024-11-25,2024-11-27,18.17,18.03,-0.77,18.74,18.8,16.88,-4.68,4.56,2
sz.000792,盐湖股份,2024-11-28,2024-11-29,17.66,17.86,1.13,18.0,18.8,17.09,-1.31,3.6,1
sz.000800,一汽解放,2024-10-16,2024-10-22,8.54,8.54,0.0,8.72,8.38,8.05,-9.69,12.06,6
sz.000807,云铝股份,2024-04-23,2024-04-24,13.68,13.91,1.68,14.46,14.24,12.44,-0.82,1.14,1
sz.000807,云铝股份,2024-05-24,2024-05-28,14.09,14.5,2.91,14.63,14.63,13.69,-10.52,9.29,4
sz.000807,云铝股份,2024-10-31,2024-11-01,14.24,14.77,3.72,14.56,14.63,12.78,-2.41,25.09,1
sz.000807,云铝股份,2024-11-15,2024-11-20,14.76,14.16,-4.07,15.2,15.09,13.45,-11.63,9.11,5
sz.000807,云铝股份,2025-02-19,2025-02-20,16.05,16.22,1.06,16.25,16.42,14.98,-1.33,8.19,1
sz.000807,云铝股份,2025-03-21,2025-03-24,17.43,17.9,2.7,17.83,17.5,16.2,-5.84,15.62,3
sz.000858,五粮液,2024-04-09,2024-04-15,146.48,147.32,0.57,152.23,152.22,139.36,-3.33,17.23,6
sz.000858,五粮液,2024-05-15,2024-05-16,151.37,154.05,1.77,152.62,149.92,147.2,-1.09,22.09,1
sz.000858,五粮液,2024-05-28,2024-06-04,150.03,147.78,-1.5,152.3,153.46,149.61,-11.93,16.41,7
sz.000858,五粮液,2024-10-17,2024-10-21,137.95,143.01,3.67,144.6,132.67,126.68,-13.62,6.6,4
sz.000858,五粮液,2024-11-18,2024-11-20,149.33,149.6,0.18,152.47,151.27,135.35,-0.89,6.79,2
sz.000858,五粮液,2024-11-25,2024-11-26,143.8,144.8,0.7,147.25,150.96,137.37,-0.08,6.84,1
sz.000858,五粮液,2025-03-25,2025-04-03,133.56,132.0,-1.17,135.48,134.03,132.95,-1.39,28.79,9
sz.000876,新希望,2024-04-12,2024-04-18,8.99,9.01,0.22,9.39,9.39,8.88,-5.89,9.04,6
sz.000876,新希望,2024-05-31,2024-06-11,10.02,9.91,-1.1,10.17,9.87,9.43,-11.36,24.07,11
sz.000876,新希望,2024-11-15,2024-11-20,9.74,9.83,0.92,10.04,9.91,9.35,-7.03,0.25,5
sz.000876,新希望,2024-11-22,2024-11-25,9.45,9.47,0.21,9.72,9.95,9.38,-4.17,0.43,3
sz.000876,新希望,2024-11-26,2024-11-27,9.4,9.5,1.06,9.59,9.9,9.4,-2.73,18.28,1
sz.000876,新希望,2025-03-04,2025-03-07,9.66,9.79,1.35,9.67,9.4,9.17,-2.19,34.36,3
sz.000876,新希望,2025-03-20,2025-03-24,9.59,9.38,-2.19,9.68,9.76,9.2,-2.55,2.09,4
sz.000895,双汇发展,2024-10-16,2024-10-22,24.88,24.9,0.08,24.94,24.39,23.65,-5.68,22.27,6
sz.000895,双汇发展,2024-11-18,2024-11-19,24.63,24.74,0.45,25.05,24.98,24.26,-4.02,4.1,1
sz.000895,双汇发展,2025-03-13,2025-03-14,26.37,26.52,0.57,26.59,26.47,25.91,-1.51,4.06,1
sz.000895,双汇发展,2025-03-17,2025-03-19,26.33,26.04,-1.1,26.53,26.54,25.93,-2.54,1.62,2
sz.000938,紫光股份,2024-06-24,2024-06-26,22.11,22.47,1.63,23.27,22.69,21.51,-1.73,9.86,2
sz.000938,紫光股份,2024-11-18,2024-11-21,25.46,25.98,2.04,27.42,26.42,22.54,-6.35,0.84,3
sz.000938,紫光股份,2024-11-22,2024-11-27,24.83,24.91,0.32,25.66,26.61,22.94,-8.81,13.63,5
sz.000938,紫光股份,2025-03-04,2025-03-06,29.39,30.72,4.53,30.56,29.89,27.23,-4.02,16.55,2
sz.000963,华东医药,2024-05-22,2024-05-27,32.61,31.93,-2.09,33.07,33.22,32.32,-10.47,6.97,5
sz.000963,华东医药,2024-10-17,2024-10-21,32.12,32.94,2.55,33.02,31.03,29.74,-7.24,3.71,4
sz.000963,华东医药,2024-12-13,2024-12-19,36.76,36.19,-1.55,37.21,36.76,34.15,-2.19,5.53,6
sz.000963,华东医药,2024-12-23,2024-12-24,35.51,36.05,1.52,35.93,36.88,34.98,-1.15,17.12,1
sz.000975,山金国际,2024-04-23,2024-04-24,17.91,18.56,3.63,19.07,18.58,16.25,-6.99,1.51,1
sz.000975,山金国际,2024-10-31,2024-11-05,18.06,18.17,0.61,18.42,18.32,17.33,-0.96,15.6,5
sz.000975,山金国际,2025-02-21,2025-03-04,16.99,16.64,-2.06,17.32,17.16,16.67,-6.96,26.97,11
sz.000977,浪潮信息,2024-04-09,2024-04-15,38.47,37.75,-1.87,40.64,41.06,35.73,-4.95,1.4,6
sz.000977,浪潮信息,2024-04-16,2024-04-17,36.67,38.25,4.31,37.43,40.32,36.35,-3.66,21.9,1
sz.000977,浪潮信息,2024-11-25,2024-11-27,46.45,46.62,0.37,48.24,48.79,40.43,-2.1,7.14,2
sz.000977,浪潮信息,2024-12-16,2024-12-18,45.6,46.54,2.06,46.55,47.13,44.24,-0.88,21.13,2
sz.000977,浪潮信息,2025-02-28,2025-03-05,59.21,60.0,1.33,63.84,61.68,53.31,-6.09,6.54,5
sz.000983,山西焦煤,2024-10-16,2024-10-21,8.51,8.58,0.82,8.68,8.15,8.07,-4.58,11.15,5
sz.000999,华润三九,2024-05-23,2024-05-24,59.91,60.79,1.47,61.18,61.14,56.52,-7.52,2.84,1
sz.000999,华润三九,2024-10-17,2024-10-21,44.55,46.88,5.23,46.2,42.81,43.01,-0.62,6.39,4
sz.000999,华润三九,2024-11-22,2024-11-27,45.69,46.25,1.23,47.16,47.3,45.18,-5.47,12.8,5
sz.001289,龙源电力,2024-11-15,2024-11-18,17.48,18.07,3.38,18.08,17.66,16.1,-3.2,17.31,3
sz.001289,龙源电力,2024-11-22,2024-11-27,17.23,17.07,-0.93,17.75,17.89,16.17,-1.21,5.78,5
sz.001965,招商公路,2024-04-26,2024-04-30,11.46,11.08,-3.32,11.69,11.63,10.96,-2.32,9.48,4
sz.001965,招商公路,2025-01-21,2025-01-22,12.76,12.77,0.08,13.08,13.39,12.52,-0.09,2.71,1
sz.001965,招商公路,2025-01-24,2025-01-27,12.61,12.85,1.9,12.79,13.26,12.56,-2.44,13.33,3
sz.001979,招商蛇口,2024-04-02,2024-04-15,9.04,8.27,-8.52,9.46,9.29,8.98,-3.31,4.25,13
sz.001979,招商蛇口,2024-05-28,2024-06-03,9.98,9.88,-1.0,10.21,9.73,9.18,-3.64,0.95,6
sz.001979,招商蛇口,2024-11-14,2024-11-20,11.22,11.02,-1.78,11.69,11.44,10.22,-5.93,1.01,6
sz.001979,招商蛇口,2024-11-22,2024-11-25,10.53,10.66,1.23,10.86,11.4,10.42,-0.94,8.84,3
sz.001979,招商蛇口,2024-12-11,2024-12-19,11.24,10.65,-5.25,11.26,11.24,10.94,-1.33,2.79,8
sz.002001,新和成,2024-05-23,2024-05-29,19.52,18.92,-3.07,19.76,19.44,18.04,-4.23,2.14,6
sz.002001,新和成,2024-07-29,2024-07-30,20.11,19.9,-1.04,20.16,20.08,19.61,-1.1,0.76,1
sz.002001,新和成,2024-10-28,2024-11-01,22.92,23.31,1.7,23.7,22.76,20.77,-0.78,9.21,4
sz.002001,新和成,2024-11-15,2024-11-20,22.41,22.39,-0.09,22.98,23.35,21.35,-8.66,3.58,5
sz.002001,新和成,2024-11-22,2024-11-25,21.7,21.78,0.37,22.19,22.92,21.54,-1.08,10.8,3
sz.002001,新和成,2025-02-14,2025-02-17,21.97,21.99,0.09,22.19,22.14,21.94,-2.88,9.34,3
sz.002007,华兰生物,2024-10-16,2024-10-21,15.89,16.18,1.83,16.25,15.51,15.69,-5.21,2.14,5
sz.002007,华兰生物,2024-11-18,2024-11-20,16.76,17.17,2.45,17.27,16.97,15.91,-7.91,7.12,2
sz.002007,华兰生物,2024-11-25,2024-11-27,16.45,16.71,1.58,16.94,17.06,16.03,-6.5,16.07,2
sz.002027,分众传媒,2024-11-18,2024-11-19,7.15,7.19,0.56,7.26,7.36,6.47,-0.61,4.02,1
sz.002027,分众传媒,2024-11-26,2024-11-27,6.87,6.97,1.46,7.04,7.26,6.62,-3.17,15.31,1
sz.002028,思源电气,2024-05-22,2024-05-24,68.61,70.53,2.8,70.41,68.56,62.99,-1.51,22.44,2
sz.002028,思源电气,2024-11-18,2024-11-19,76.15,76.37,0.29,77.73,77.6,71.37,-1.92,4.42,1
sz.002049,紫光国微,2024-10-31,2024-11-05,66.98,68.16,1.76,68.1,67.38,54.51,-0.95,38.01,5
sz.002049,紫光国微,2024-11-19,2024-11-20,67.66,67.43,-0.34,69.41,69.45,58.65,-0.23,0.46,1
sz.002049,紫光国微,2024-11-22,2024-11-27,64.76,65.1,0.53,66.58,68.98,59.61,-8.41,13.64,5
sz.002049,紫光国微,2025-03-19,2025-03-25,67.91,68.39,0.71,68.94,67.38,64.33,-12.81,35.42,6
sz.002050,三花智控,2024-06-19,2024-07-02,22.51,19.39,-13.86,23.28,22.91,22.5,-3.43,16.77,13
sz.002050,三花智控,2024-10-17,2024-10-18,21.08,22.45,6.5,21.41,20.35,18.32,-6.34,8.74,1
sz.002050,三花智控,2024-11-26,2024-11-27,22.07,22.5,1.95,23.63,24.08,21.28,-5.74,8.36,1
sz.002050,三花智控,2024-12-16,2024-12-19,23.77,24.14,1.56,24.65,24.12,22.91,-0.24,3.16,3
sz.002050,三花智控,2025-03-03,2025-03-04,30.52,31.02,1.64,32.4,33.19,27.93,-1.3,4.06,1
sz.002074,国轩高科,2024-05-31,2024-06-04,20.3,20.69,1.92,20.68,20.1,19.86,-6.45,15.09,4
sz.002074,国轩高科,2024-10-17,2024-10-21,20.69,22.16,7.1,21.3,20.39,19.28,-9.27,12.62,4
sz.002074,国轩高科,2024-11-18,2024-11-19,23.21,23.97,3.27,24.15,23.46,20.86,-2.92,10.91,1
sz.002074,国轩高科,2025-03-10,2025-03-11,23.11,23.16,0.22,23.31,22.9,21.88,-2.12,1.48,1
sz.002074,国轩高科,2025-03-13,2025-03-14,22.94,23.22,1.22,23.07,23.06,21.9,-0.22,22.04,1
sz.002129,TCL中环,2024-10-16,2024-10-21,9.04,9.81,8.52,9.4,8.75,8.36,-2.14,24.51,5
sz.002129,TCL中环,2024-11-18,2024-11-19,10.57,10.8,2.18,11.32,11.61,9.48,-4.15,2.89,1
sz.002129,TCL中环,2024-11-22,2024-11-25,10.15,10.19,0.39,10.61,11.54,9.66,-1.46,0.81,3
sz.002129,TCL中环,2024-11-26,2024-11-27,10.1,10.35,2.48,10.4,11.32,9.75,-0.01,16.86,1
sz.002142,宁波银行,2024-05-29,2024-06-12,24.68,22.85,-7.41,25.16,24.54,22.46,-4.49,1.67,14
sz.002142,宁波银行,2024-11-01,2024-11-04,25.5,25.87,1.45,25.82,25.94,22.16,-11.2,10.45,3
sz.002142,宁波银行,2024-11-15,2024-11-25,25.24,24.14,-4.36,25.56,26.02,23.02,-1.03,5.15,10
sz.002142,宁波银行,2025-04-03,2025-04-08,25.36,23.57,-7.06,25.78,25.59,25.22,-5.72,0.67,5
sz.002179,中航光电,2024-05-24,2024-05-27,35.23,35.6,1.05,36.16,35.51,34.75,-15.64,0.91,3
sz.002179,中航光电,2024-06-24,2024-06-26,37.33,37.43,0.27,37.77,36.99,35.34,-0.98,8.52,2
sz.002179,中航光电,2024-08-05,2024-08-06,37.08,38.88,4.85,38.24,37.54,37.08,-2.66,30.72,1
sz.002179,中航光电,2024-11-15,2024-11-20,41.31,41.52,0.51,43.58,44.2,40.49,-10.6,4.62,5
sz.002180,纳思达,2024-05-31,2024-06-03,27.2,27.13,-0.26,27.44,27.1,24.97,-2.74,7.54,3
sz.002180,纳思达,2024-10-17,2024-10-21,27.59,28.6,3.66,28.72,26.95,25.73,-10.47,2.75,4
sz.002180,纳思达,2024-11-15,2024-11-20,27.56,27.62,0.22,29.57,28.75,26.6,-4.33,0.02,5
sz.002230,科大讯飞,2024-12-17,2024-12-19,49.94,51.59,3.3,51.39,50.49,46.58,-9.93,7.08,2
sz.002230,科大讯飞,2025-02-28,2025-03-06,51.8,53.29,2.88,54.91,54.06,50.73,-3.2,9.16,6
sz.002236,大华股份,2024-10-17,2024-10-21,15.91,16.89,6.16,16.06,15.28,14.41,-7.4,28.24,4
sz.002236,大华股份,2024-11-22,2024-11-27,16.43,16.24,-1.16,16.89,17.04,15.57,-7.06,4.58,5
sz.002236,大华股份,2025-02-28,2025-03-06,16.44,18.18,10.58,17.37,16.86,16.23,-3.68,66.55,6
sz.002236,大华股份,2025-03-21,2025-04-01,17.85,16.87,-5.49,18.83,18.13,16.69,-9.89,2.66,11
sz.002241,歌尔股份,2024-07-25,2024-07-29,21.5,21.51,0.05,22.23,21.28,18.53,-1.12,0.71,4
sz.002241,歌尔股份,2024-07-30,2024-07-31,21.23,21.52,1.37,21.52,21.56,18.8,-2.74,4.54,1
sz.002241,歌尔股份,2024-11-26,2024-11-27,23.06,24.99,8.37,24.23,24.26,22.0,-9.85,18.19,1
sz.002241,歌尔股份,2025-01-02,2025-01-07,24.95,25.44,1.96,26.67,26.65,24.86,-2.54,12.2,5
sz.002241,歌尔股份,2025-02-18,2025-02-19,27.7,28.54,3.03,28.28,27.41,26.28,-9.0,10.07,1
sz.002252,上海莱士,2024-05-20,2024-05-27,7.31,7.11,-2.74,7.39,7.27,7.16,-1.79,2.19,7
sz.002252,上海莱士,2024-11-18,2024-11-19,7.44,7.57,1.75,7.58,7.5,7.26,-1.73,9.9,1
sz.002271,东方雨虹,2024-11-15,2024-11-21,14.13,13.88,-1.77,14.74,14.38,12.36,-4.35,4.29,6
sz.002271,东方雨虹,2024-11-22,2024-11-26,13.35,13.35,0.0,13.82,14.45,12.61,-5.56,3.06,4
sz.002304,洋河股份,2024-10-16,2024-10-21,83.72,85.19,1.76,85.99,81.72,80.04,-7.85,4.7,5
sz.002304,洋河股份,2024-11-22,2024-11-27,84.5,85.43,1.1,86.75,87.12,82.95,-8.33,6.66,5
sz.002311,海大集团,2024-05-24,2024-05-27,51.82,52.94,2.16,52.52,51.56,46.73,-1.28,32.5,3
sz.002311,海大集团,2024-06-06,2024-06-07,49.5,49.24,-0.53,50.3,52.07,48.0,-0.09,0.92,1
sz.002311,海大集团,2024-10-17,2024-10-21,40.99,44.66,8.95,42.67,40.25,40.48,-13.35,34.45,4
sz.002311,海大集团,2024-11-18,2024-11-20,46.58,46.78,0.43,47.66,46.83,41.87,-6.1,0.43,2
sz.002311,海大集团,2024-11-22,2024-11-25,45.66,46.13,1.03,46.51,46.97,42.36,-1.53,2.84,3
sz.002311,海大集团,2025-01-03,2025-01-06,47.09,47.68,1.25,48.22,48.17,46.78,-3.05,13.32,3
sz.002352,顺丰控股,2024-11-15,2024-11-25,42.92,42.0,-2.14,44.2,44.22,39.98,-5.81,8.33,10
sz.002352,顺丰控股,2025-03-25,2025-03-31,42.3,43.12,1.94,42.82,42.56,40.96,-4.34,37.27,6
sz.002371,北方华创,2024-04-11,2024-04-15,290.77,313.02,7.65,295.8,300.42,271.61,-2.78,64.24,4
sz.002371,北方华创,2024-11-22,2024-11-27,422.53,415.91,-1.57,429.85,423.82,363.07,-6.95,14.5,5
sz.002371,北方华创,2025-03-04,2025-03-06,430.51,462.38,7.4,447.55,432.32,406.29,-6.93,38.09,2
sz.002371,北方华创,2025-03-20,2025-03-24,428.96,429.4,0.1,435.52,447.01,415.39,-4.07,28.63,4
sz.002415,海康威视,2024-10-16,2024-10-21,28.28,30.73,8.66,29.8,28.03,27.81,-4.65,27.23,5
sz.002415,海康威视,2024-11-18,2024-11-20,30.72,31.1,1.24,31.67,31.15,28.66,-2.82,3.17,2
sz.002415,海康威视,2024-11-22,2024-11-27,30.02,30.02,0.0,30.76,31.14,28.93,-10.04,7.19,5
sz.002415,海康威视,2025-03-21,2025-03-31,31.33,30.7,-2.01,32.65,32.24,30.7,-11.54,2.96,10
sz.002422,科伦药业,2024-05-23,2024-05-24,33.25,33.47,0.66,33.7,33.39,30.5,-4.64,1.3,1
sz.002422,科伦药业,2024-05-28,2024-05-30,32.93,32.3,-1.91,33.3,33.8,30.85,-1.88,5.19,2
sz.002459,晶澳科技,2024-12-10,2024-12-12,15.71,15.88,1.08,16.16,16.81,15.13,-6.34,1.23,2
sz.002459,晶澳科技,2024-12-13,2024-12-19,15.45,14.81,-4.14,15.73,16.56,15.41,-6.32,7.01,6
sz.002460,赣锋锂业,2024-10-17,2024-10-21,29.96,31.62,5.54,30.93,29.62,27.86,-13.47,3.17,4
sz.002460,赣锋锂业,2024-12-10,2024-12-12,38.95,39.62,1.72,39.75,41.04,34.78,-2.53,10.37,2
sz.002460,赣锋锂业,2024-12-13,2024-12-19,38.22,36.43,-4.68,39.03,40.62,35.41,-0.98,2.11,6
sz.002460,赣锋锂业,2025-03-13,2025-03-14,36.1,36.73,1.75,36.46,36.34,35.7,-4.59,14.67,1
sz.002463,沪电股份,2024-04-11,2024-04-12,28.79,30.24,5.04,29.46,30.73,26.24,-1.5,27.59,1
sz.002463,沪电股份,2024-05-14,2024-05-15,31.38,31.86,1.53,31.83,31.42,29.68,-2.27,4.01,1
sz.002463,沪电股份,2024-05-29,2024-05-30,31.09,31.15,0.19,31.55,32.2,30.92,-5.82,6.58,1
sz.002463,沪电股份,2024-07-19,2024-07-26,35.3,33.52,-5.04,37.27,37.79,34.66,-4.96,0.05,7
sz.002463,沪电股份,2024-11-01,2024-11-04,39.42,40.78,3.45,40.92,41.91,35.75,-9.4,2.53,3
sz.002466,天齐锂业,2024-10-17,2024-10-21,31.78,33.92,6.73,32.82,30.39,28.23,-8.9,10.29,4
sz.002466,天齐锂业,2024-12-04,2024-12-05,37.0,37.12,0.32,37.78,39.32,34.18,-1.47,0.36,1
sz.002475,立讯精密,2024-05-29,2024-05-30,31.18,32.26,3.46,31.64,31.0,29.26,-0.45,35.37,1
sz.002475,立讯精密,2024-07-23,2024-07-26,38.43,37.92,-1.33,40.26,40.04,35.03,-8.12,5.28,3
sz.002475,立讯精密,2024-10-31,2024-11-04,42.22,42.81,1.4,43.12,43.53,39.14,-1.06,3.77,4
sz.002475,立讯精密,2025-03-04,2025-03-12,41.85,40.55,-3.11,43.37,43.26,41.23,-10.12,10.03,8
sz.002493,荣盛石化,2024-05-14,2024-05-27,10.95,10.5,-4.11,11.18,11.19,10.81,-3.32,9.32,13
sz.002493,荣盛石化,2024-10-16,2024-10-21,9.04,9.12,0.88,9.38,9.04,8.95,-12.55,6.52,5
sz.002493,荣盛石化,2024-11-22,2024-11-27,9.44,9.63,2.01,9.86,9.8,9.23,-12.84,11.6,5
sz.002594,比亚迪,2024-04-23,2024-04-24,205.04,207.42,1.16,210.07,211.24,197.46,-1.11,6.66,1
sz.002594,比亚迪,2024-05-16,2024-05-20,218.31,222.87,2.09,223.17,218.2,207.33,-4.85,21.75,4
sz.002594,比亚迪,2024-05-23,2024-05-29,214.95,224.7,4.54,218.62,220.01,210.39,-0.01,65.5,6
sz.002594,比亚迪,2024-07-02,2024-07-03,243.97,243.1,-0.36,248.65,248.14,227.62,-0.66,1.01,1
sz.002594,比亚迪,2024-07-24,2024-07-26,249.99,254.95,1.98,258.86,253.03,239.25,-1.83,5.51,2
sz.002594,比亚迪,2024-07-29,2024-07-31,249.1,247.05,-0.82,251.53,253.42,240.84,-2.16,2.14,2
sz.002594,比亚迪,2024-10-17,2024-10-18,289.42,300.3,3.76,296.85,280.06,255.26,-2.14,3.39,1
sz.002594,比亚迪,2024-11-01,2024-11-04,290.31,306.98,5.74,299.91,303.61,264.13,-5.24,42.58,3
sz.002594,比亚迪,2024-11-18,2024-11-19,288.68,287.99,-0.24,294.96,300.68,276.56,-3.28,4.67,1
sz.002594,比亚迪,2025-03-04,2025-03-05,344.84,353.96,2.64,362.89,349.77,302.39,-2.73,6.79,1
sz.002594,比亚迪,2025-04-01,2025-04-09,365.5,324.6,-11.19,377.08,370.82,332.02,-3.09,3.84,8
sz.002601,龙佰集团,2024-05-30,2024-06-03,21.05,21.05,0.0,21.68,21.84,20.16,-2.06,3.97,4
sz.002601,龙佰集团,2024-10-16,2024-10-21,18.87,18.9,0.16,19.21,18.1,17.03,-5.96,6.76,5
sz.002601,龙佰集团,2024-11-15,2024-11-19,18.78,19.0,1.17,19.22,19.41,17.88,-9.34,3.16,4
sz.002601,龙佰集团,2024-11-25,2024-11-26,18.31,18.34,0.16,18.74,19.19,18.17,-3.43,1.66,1
sz.002648,卫星化学,2024-05-16,2024-05-17,18.77,18.91,0.75,19.32,19.2,17.89,-1.96,9.11,1
sz.002648,卫星化学,2024-10-17,2024-10-21,17.79,18.29,2.81,18.25,16.87,16.51,-1.93,14.53,4
sz.002648,卫星化学,2024-11-13,2024-11-14,18.57,18.94,1.99,18.79,18.89,17.14,-2.17,18.97,1
sz.002648,卫星化学,2024-11-22,2024-11-26,17.85,17.74,-0.62,18.22,18.83,17.42,-4.2,8.79,4
sz.002709,天赐材料,2024-04-18,2024-04-26,22.48,20.86,-7.21,23.26,22.98,21.27,-2.05,14.0,8
sz.002709,天赐材料,2024-10-16,2024-10-21,15.88,16.69,5.1,16.61,15.51,15.01,-1.02,4.04,5
sz.002709,天赐材料,2024-12-05,2024-12-06,22.55,22.99,1.95,23.48,23.39,18.77,-12.17,0.92,1
sz.002709,天赐材料,2024-12-10,2024-12-12,22.38,22.27,-0.49,22.65,23.33,19.2,-1.25,0.43,2
sz.002709,天赐材料,2025-03-11,2025-03-14,20.4,20.14,-1.27,20.58,20.26,19.88,-3.36,9.03,3
sz.002714,牧原股份,2024-04-15,2024-04-16,42.48,42.82,0.8,43.23,42.52,39.16,-5.38,0.22,1
sz.002714,牧原股份,2024-11-14,2024-11-20,43.11,42.03,-2.51,44.22,43.88,41.22,-6.72,0.07,6
sz.002736,国信证券,2024-05-16,2024-05-17,8.77,8.96,2.17,8.9,8.87,8.63,-1.78,37.7,1
sz.002812,恩捷股份,2024-10-17,2024-10-21,31.09,32.67,5.08,32.35,29.73,28.59,-6.12,3.56,4
sz.002812,恩捷股份,2024-12-04,2024-12-06,35.67,36.6,2.61,36.85,38.6,33.52,-5.18,9.22,2
sz.002916,深南电路,2024-05-15,2024-05-16,87.18,88.68,1.72,88.51,89.48,83.54,-7.99,1.36,1
sz.002916,深南电路,2024-07-23,2024-07-31,114.65,110.67,-3.47,120.23,114.35,101.4,-4.4,8.53,8
sz.002916,深南电路,2025-01-06,2025-01-07,117.68,125.27,6.45,122.51,114.26,108.08,-10.33,19.85,1
sz.002916,深南电路,2025-02-28,2025-03-05,130.89,125.26,-4.3,143.33,139.72,124.07,-11.22,0.2,5
sz.002920,德赛西威,2024-10-17,2024-10-18,111.33,118.63,6.56,114.04,106.7,96.41,-4.16,6.7,1
sz.002920,德赛西威,2025-02-28,2025-03-06,123.69,124.8,0.9,130.64,127.71,117.6,-3.37,3.49,6
sz.002938,鹏鼎控股,2024-04-02,2024-04-09,22.41,21.9,-2.28,22.89,22.87,20.72,-4.95,2.91,7
sz.002938,鹏鼎控股,2024-04-10,2024-04-12,21.38,21.99,2.85,21.83,22.84,20.74,-0.13,18.87,2
sz.002938,鹏鼎控股,2024-07-23,2024-07-25,36.25,35.58,-1.85,37.42,39.12,33.17,-7.05,3.01,2
sz.002938,鹏鼎控股,2025-03-03,2025-03-05,38.38,39.4,2.66,41.3,41.26,38.26,-6.53,6.49,2
