code,code_name,D1日期,D2日期,D1收盘价,D2收盘价,D1-D2收益率,D1_5日均线,D1_20日均线,D1_60日均线,D1_J值,D2_J值,持仓天数
sh.603986,兆易创新,2024-11-22,2024-11-27,84.38,85.0,0.73,87.25,91.18,81.28,-6.58,13.58,5
sh.603986,兆易创新,2025-01-03,2025-01-07,103.1,105.2,2.04,107.73,100.61,92.51,-3.21,6.15,4
sh.603986,兆易创新,2025-02-14,2025-02-19,127.32,127.51,0.15,131.72,131.33,107.7,-0.13,3.94,5
sh.603993,洛阳钼业,2024-05-22,2024-05-24,8.21,8.18,-0.37,8.59,8.91,8.03,-6.55,4.06,2
sh.603993,洛阳钼业,2024-10-16,2024-10-21,8.02,8.32,3.74,8.14,7.65,7.5,-1.17,50.97,5
sh.603993,洛阳钼业,2024-10-31,2024-11-01,7.6,7.93,4.34,7.77,8.1,7.51,-6.41,28.31,1
sh.603993,洛阳钼业,2025-03-31,2025-04-09,7.6,6.15,-19.08,7.83,7.66,7.23,-3.1,0.77,9
sh.605117,德业股份,2024-05-17,2024-05-20,91.51,95.63,4.5,95.5,91.76,91.12,-11.28,9.97,3
sh.605117,德业股份,2024-08-15,2024-08-20,92.19,92.66,0.51,94.19,96.49,83.47,-5.99,13.25,5
sh.605117,德业股份,2025-02-20,2025-02-24,90.36,91.84,1.64,91.82,90.58,87.78,-0.39,29.02,4
sh.605117,德业股份,2025-03-10,2025-03-11,90.05,89.23,-0.91,91.09,92.08,88.57,-0.17,7.44,1
sh.605499,东鹏饮料,2024-04-12,2024-04-15,184.78,193.0,4.45,187.57,186.87,178.63,-5.74,46.66,3
sh.605499,东鹏饮料,2024-05-20,2024-05-21,220.3,224.21,1.77,224.03,213.33,194.21,-3.39,8.1,1
sh.605499,东鹏饮料,2024-05-31,2024-06-03,213.97,229.15,7.09,218.97,223.26,200.59,-7.46,64.58,3
sh.605499,东鹏饮料,2024-06-21,2024-06-24,216.64,217.8,0.54,219.18,222.76,209.85,-2.87,7.53,3
sh.605499,东鹏饮料,2024-08-27,2024-08-28,229.71,228.79,-0.4,233.26,235.62,227.29,-3.38,0.82,1
sh.605499,东鹏饮料,2024-12-26,2024-12-27,241.63,243.86,0.92,242.45,235.05,225.66,-3.32,8.07,1
sh.605499,东鹏饮料,2025-01-15,2025-01-20,236.03,246.79,4.56,259.45,250.43,231.08,-1.48,9.73,5
sh.688008,澜起科技,2024-07-24,2024-07-30,58.98,58.47,-0.86,61.54,60.04,54.81,-11.07,5.64,6
sh.688008,澜起科技,2024-11-22,2024-11-27,63.91,66.69,4.35,66.77,69.28,61.84,-9.27,28.6,5
sh.688008,澜起科技,2024-12-17,2024-12-18,66.87,68.8,2.89,68.29,67.46,66.27,-3.16,15.72,1
sh.688009,中国通号,2024-04-25,2024-05-06,5.68,5.75,1.23,5.82,5.71,5.18,-2.8,24.67,11
sh.688009,中国通号,2024-11-22,2024-11-27,6.4,6.42,0.31,6.62,6.57,5.93,-7.53,9.97,5
sh.688012,中微公司,2024-04-10,2024-04-15,142.99,146.49,2.45,147.85,151.98,139.24,-1.37,32.69,5
sh.688012,中微公司,2024-08-15,2024-08-23,148.41,131.01,-11.72,151.47,151.43,144.44,-0.01,9.87,8
sh.688012,中微公司,2024-11-20,2024-11-21,213.01,216.5,1.64,217.29,206.8,165.63,-1.04,1.17,1
sh.688012,中微公司,2024-11-22,2024-11-27,209.46,211.84,1.14,213.04,209.92,167.95,-6.42,15.71,5
sh.688012,中微公司,2024-12-13,2024-12-19,200.51,194.88,-2.81,208.65,211.85,188.24,-3.95,4.03,6
sh.688036,传音控股,2024-10-16,2024-10-21,90.35,94.5,4.59,99.21,91.33,82.88,-1.78,0.69,5
sh.688036,传音控股,2024-11-18,2024-11-19,91.63,95.2,3.9,95.22,95.26,89.64,-10.37,5.66,1
sh.688036,传音控股,2025-02-18,2025-02-21,98.8,100.51,1.73,101.45,99.92,94.32,-11.83,22.35,3
sh.688041,海光信息,2024-11-15,2024-11-19,121.9,127.2,4.35,129.71,128.55,101.68,-5.91,1.12,4
sh.688041,海光信息,2024-12-13,2024-12-16,123.81,123.42,-0.31,126.86,125.69,118.03,-6.89,0.57,3
sh.688041,海光信息,2024-12-17,2024-12-19,121.81,128.78,5.72,124.04,125.44,119.55,-0.62,30.36,2
sh.688041,海光信息,2025-01-06,2025-01-07,134.57,147.6,9.68,142.61,136.09,129.61,-7.65,19.88,1
sh.688041,海光信息,2025-03-18,2025-03-24,153.4,149.0,-2.87,156.6,155.93,144.66,-0.24,5.31,6
sh.688082,盛美上海,2024-07-25,2024-07-30,86.18,88.93,3.19,90.11,88.6,82.96,-13.34,14.48,5
sh.688082,盛美上海,2024-08-21,2024-08-23,88.81,88.0,-0.91,90.85,90.77,86.9,-7.0,1.6,2
sh.688082,盛美上海,2024-10-30,2024-10-31,104.51,106.61,2.01,106.94,109.74,94.73,-1.24,5.1,1
sh.688082,盛美上海,2024-11-01,2024-11-04,102.42,104.97,2.49,105.41,111.47,95.21,-3.14,17.47,3
sh.688111,金山办公,2024-04-03,2024-04-09,285.0,284.18,-0.29,296.47,300.6,265.71,-1.98,3.67,6
sh.688111,金山办公,2024-05-10,2024-05-20,291.55,292.99,0.49,298.41,294.49,283.79,-0.89,47.64,10
sh.688111,金山办公,2024-11-01,2024-11-04,248.16,252.49,1.74,258.85,265.27,213.77,-9.36,6.47,3
sh.688111,金山办公,2024-12-20,2024-12-26,303.1,298.7,-1.45,309.4,304.62,278.33,-0.64,20.76,6
sh.688111,金山办公,2025-02-19,2025-02-21,365.0,371.6,1.81,374.2,334.75,306.46,-4.52,3.87,2
sh.688111,金山办公,2025-02-28,2025-03-03,346.19,356.01,2.84,360.5,364.43,314.35,-1.32,14.75,3
sh.688111,金山办公,2025-03-17,2025-03-24,346.1,312.93,-9.58,352.46,362.34,324.87,-6.29,3.59,7
sh.688126,沪硅产业,2024-06-27,2024-07-02,13.7,13.9,1.46,14.31,14.32,13.51,-8.71,3.57,5
sh.688126,沪硅产业,2024-08-12,2024-08-13,14.59,15.15,3.84,14.97,15.0,14.38,-2.23,20.87,1
sh.688126,沪硅产业,2024-11-01,2024-11-05,21.77,22.54,3.54,22.66,22.51,17.27,-4.54,9.93,4
sh.688126,沪硅产业,2024-11-25,2024-11-27,21.35,21.46,0.52,22.29,22.75,19.32,-0.59,13.95,2
sh.688169,石头科技,2024-05-20,2024-05-21,426.74,433.91,1.68,439.39,420.18,363.68,-4.58,4.67,1
sh.688169,石头科技,2024-05-22,2024-05-24,420.01,424.9,1.16,428.35,425.33,367.05,-9.29,0.73,2
sh.688169,石头科技,2025-03-03,2025-03-06,234.76,245.98,4.78,249.67,246.16,231.83,-8.91,9.55,3
sh.688169,石头科技,2025-03-31,2025-04-02,243.18,247.4,1.74,246.95,246.21,240.45,-5.09,11.53,2
sh.688187,时代电气,2024-04-26,2024-05-06,50.0,49.33,-1.34,50.54,49.44,42.68,-1.9,13.04,10
sh.688187,时代电气,2024-05-21,2024-05-22,46.86,46.99,0.28,47.8,49.48,46.07,-1.15,0.31,1
sh.688187,时代电气,2024-05-23,2024-05-24,46.48,46.84,0.77,47.05,48.9,46.44,-3.62,1.17,1
sh.688187,时代电气,2024-08-09,2024-08-12,53.34,54.42,2.02,53.88,54.09,50.63,-0.91,18.34,3
sh.688187,时代电气,2025-03-28,2025-04-07,47.85,41.65,-12.96,48.66,47.64,45.81,-4.74,4.65,10
sh.688223,晶科能源,2024-06-21,2024-07-01,8.12,7.27,-10.47,8.22,8.3,7.99,-0.34,4.26,10
sh.688223,晶科能源,2024-11-18,2024-11-19,8.31,8.65,4.09,8.71,9.1,7.96,-0.05,19.39,1
sh.688256,寒武纪,2024-04-08,2024-04-09,158.97,157.56,-0.89,168.0,175.38,147.3,-3.42,5.17,1
sh.688256,寒武纪,2024-04-10,2024-04-11,150.09,156.18,4.06,159.92,173.22,148.22,-0.15,11.79,1
sh.688256,寒武纪,2024-05-29,2024-05-30,172.0,172.53,0.31,175.17,175.33,169.12,-0.31,0.82,1
sh.688256,寒武纪,2024-06-28,2024-07-01,198.67,204.84,3.11,200.75,195.84,175.71,-1.7,14.81,3
sh.688256,寒武纪,2024-08-06,2024-08-08,233.46,229.54,-1.68,246.06,242.16,208.0,-2.95,0.32,2
sh.688256,寒武纪,2024-08-28,2024-08-29,240.2,240.29,0.04,249.05,244.68,225.59,-0.62,2.59,1
sh.688256,寒武纪,2024-11-04,2024-11-05,410.94,437.86,6.55,430.96,398.95,289.66,-0.11,21.1,1
