code,code_name,D1日期,D2日期,D1收盘价,D2收盘价,D1-D2收益率,D1_5周均线,D1_20周均线,D1_60周均线,D1_J值,D2_J值,持仓周数
sz.002459,晶澳科技,2024-12-23,2025-01-20,14.08,12.69,-9.87,15.57,13.84,,-14.41,1.36,4
sz.002466,天齐锂业,2024-12-23,2025-02-03,34.13,32.1,-5.95,36.3,32.95,,-6.97,14.46,6
sz.002594,比亚迪,2024-12-02,2024-12-16,280.28,280.2,-0.03,284.3,270.98,,-4.18,2.15,2
sz.002601,龙佰集团,2024-12-02,2024-12-23,18.12,17.51,-3.37,18.55,17.82,,-2.16,1.67,3
sz.002648,卫星化学,2024-06-10,2024-06-17,17.97,18.14,0.95,18.32,17.62,,-1.84,2.42,1
sz.002648,卫星化学,2024-12-09,2024-12-23,17.58,18.22,3.64,17.96,17.26,,-4.87,12.22,2
sz.002714,牧原股份,2024-06-24,2024-07-15,43.6,45.88,5.23,45.51,43.34,,-3.59,19.98,3
sz.002736,国信证券,2024-12-16,2025-01-13,11.25,10.48,-6.84,11.42,10.66,,-7.15,4.43,4
sz.002812,恩捷股份,2024-12-23,2025-02-03,33.16,30.25,-8.78,35.22,32.34,,-6.74,3.99,6
sz.002920,德赛西威,2024-12-16,2025-01-20,112.75,110.8,-1.73,120.54,110.23,,-4.16,18.8,5
sz.002938,鹏鼎控股,2024-08-19,2024-08-26,34.25,35.8,4.53,35.11,31.9,,-5.35,6.04,1
sz.002938,鹏鼎控股,2024-09-02,2024-09-09,33.55,33.75,0.6,34.49,33.18,,-2.27,3.7,1
sz.300014,亿纬锂能,2024-12-30,2025-01-13,43.79,45.03,2.83,46.74,43.6,,-8.75,5.52,2
sz.300015,爱尔眼科,2024-12-23,2025-01-20,13.77,12.38,-10.09,14.33,13.17,,-9.07,2.3,4
sz.300059,东方财富,2025-01-06,2025-01-20,21.88,24.09,10.1,24.76,21.4,,-13.54,10.62,2
sz.300122,智飞生物,2024-12-23,2025-02-03,27.93,25.4,-9.06,28.92,27.55,,-1.79,12.63,6
sz.300274,阳光电源,2024-11-25,2025-01-13,81.28,75.05,-7.66,84.57,80.97,,-6.33,19.13,7
sz.300308,中际旭创,2024-12-02,2024-12-23,131.51,136.85,4.06,134.65,130.77,,-0.18,25.27,3
sz.300316,晶盛机电,2024-12-16,2025-01-13,32.57,31.82,-2.3,33.81,30.42,,-3.28,21.67,4
sz.300413,芒果超媒,2025-01-06,2025-01-13,25.27,26.65,5.46,27.65,25.17,,-1.52,6.59,1
sz.300433,蓝思科技,2025-03-24,2025-04-14,25.61,19.87,-22.41,26.6,24.41,18.95,-2.68,4.59,3
sz.300442,润泽科技,2025-03-31,2025-04-07,56.06,54.81,-2.23,60.97,54.16,35.9,-10.11,3.8,1
sz.300896,爱美客,2024-12-23,2025-01-20,201.7,171.6,-14.92,208.54,192.67,,-3.52,0.74,4
sz.300979,华利集团,2024-11-11,2024-11-18,65.88,69.37,5.3,68.58,64.67,,-3.47,8.61,1
sz.301269,华大九天,2025-01-13,2025-02-03,110.42,115.56,4.65,117.07,105.49,,-2.05,7.02,3
